,y_test,xgb_y_pred,y_test
873,28.8,26.04457664,28.8
874,9,8.96882534,9
875,32.5,26.42903519,32.5
876,6.3,6.169906616,6.3
877,9.3,10.96511459,9.3
878,17.5,20.14177322,17.5
879,17,16.87839127,17
880,11.2,11.88863468,11.2
881,11,10.79568672,11
882,4.2,4.233124733,4.2
883,33,28.06147003,33
884,10.5,11.60386848,10.5
885,9,8.220619202,9
886,20.8,20.98211861,20.8
887,6.5,5.558137417,6.5
888,34.8,33.6102066,34.8
889,20,22.12412071,20
890,16,15.86395645,16
891,20.9,19.02288437,20.9
892,26,25.99354744,26
893,7.5,9.268799782,7.5
894,23.8,23.074646,23.8
895,22,20.0264225,22
896,14.3,15.00485706,14.3
897,26,24.40757179,26
898,26.8,25.39211845,26.8
899,7,10.89161777,7
900,8.8,11.15811443,8.8
901,8,7.908132553,8
902,4.88,4.185654163,4.88
903,3.2,2.117019653,3.2
904,28.3,29.31626892,28.3
905,8.38,8.042600632,8.38
906,35.5,28.08978844,35.5
907,13,15.03715897,13
908,20,17.56759071,20
909,18.58,16.41525459,18.58
910,20,19.92061806,20
911,24.5,23.82721519,24.5
912,7.8,7.492770672,7.8
913,27,27.08672142,27
914,1.3,2.62415719,1.3
915,10.5,12.71008778,10.5
916,9.5,8.304432869,9.5
917,4,3.94934845,4
918,18,17.96616173,18
919,23.8,23.06303406,23.8
920,6.66,5.553735733,6.66
921,7.5,7.414325237,7.5
922,15.5,18.08857155,15.5
923,16.38,14.72726536,16.38
924,27,26.69085312,27
925,8.25,8.105820656,8.25
926,11.7,9.485013008,11.7
927,15.88,15.21184158,15.88
928,3.58,3.895720959,3.58
929,19.5,19.74663544,19.5
930,20,18.05478668,20
931,17,16.93181992,17
932,36,36.02312469,36
933,9.5,9.540344238,9.5
934,14.98,17.61518669,14.98
935,15.68,14.67832851,15.68
936,21.28,23.92188454,21.28
937,10.38,11.01252174,10.38
938,26.8,33.07907104,26.8
939,13,8.604953766,13
940,8.68,8.78685379,8.68
941,4.98,4.325172901,4.98
942,20,20.63092232,20
943,4.88,5.370412827,4.88
944,7.52,8.003802299,7.52
945,17.2,16.48374748,17.2
946,16,15.92793179,16
947,17.68,17.4053669,17.68
948,25,25.20995903,25
949,32,30.2663784,32
950,26,25.91972923,26
951,11,11.85797787,11
952,17.4,19.40617371,17.4
953,24,26.20060158,24
954,7.5,13.12163925,7.5
955,19.8,22.18243599,19.8
956,2.88,4.339107513,2.88
957,23,22.71982765,23
958,35.8,35.33244324,35.8
959,27,27.18785286,27
960,11,9.879838943,11
961,7.18,7.822913647,7.18
962,7,6.196759224,7
963,11,11.08917618,11
964,15,19.39143944,15
965,20,18.05478668,20
966,20.5,21.4068718,20.5
967,18.9,20.64207649,18.9
