,y_test,xgb_y_pred,y_test,,,,,,,,,,,
501,8,7.112485886,8,,,,,,,,,,,
502,15.5,15.01986408,15.5,,,,,,,,,,,
503,17,17.05864143,17,,,,,,,,,,,
504,8.8,11.49411678,8.8,,,,,,,,,,,
505,21.98,19.96269035,21.98,,,,,,,,,,,
506,12,11.9276886,12,,,,,,,,,,,
507,1,4.076242924,1,,,,,,,,,,,
508,36.5,30.1339035,36.5,,,,,,,,,,,
509,24,24.07614136,24,,,,,,,,,,,
510,31.5,27.87255478,31.5,,,,,,,,,,,
511,37,37.15008545,37,,,,,,,,,,,
512,12.5,11.96861362,12.5,,,,,,,,,,,
513,6.08,7.85786438,6.08,,,,,,,,,,,
514,15,15.00444221,15,,,,,,,,,,,
515,2.6,2.338469505,2.6,,,,,,,,,,,
516,4.78,7.364122391,4.78,,,,,,,,,,,
517,8.5,9.043893814,8.5,,,,,,,,,,,
518,21.8,19.61660957,21.8,,,,,,,,,,,
519,4.38,6.278772831,4.38,,,,,,,,,,,
520,13.88,13.27583218,13.88,,,,,,,,,,,
521,7,6.981622696,7,,,,,,,,,,,
522,6.2,5.265939236,6.2,,,,,,,,,,,
523,12,11.02904415,12,,,,,,,,,,,
524,17,16.91049767,17,,,,,,,,,,,
525,16,15.31993866,16,,,,,,,,,,,
526,5,4.957276344,5,,,,,,,,,,,
527,3.5,5.337575436,3.5,,,,,,,,,,,
528,10,10.11822414,10,,,,,,,,,,,
529,28.9,27.4998188,28.9,,,,,,,,,,,
530,4.87,6.322008133,4.87,,,,,,,,,,,
531,4.28,3.055031776,4.28,,,,,,,,,,,
532,3.7,6.032261372,3.7,,,,,,,,,,,
533,2,1.968510866,2,,,,,,,,,,,
534,4.58,5.196767807,4.58,,,,,,,,,,,
535,17,16.9666748,17,,,,,,,,,,,
